account_no,account_name,vat,type,sheet
8642,Tilgode vedr. fejloverførsel,,2,Sheet1
8650,Udlæg,,2,Sheet1
8685,Forudbetalinger,,2,Sheet1
8686,Udskudt skat,,2,Sheet1
8690,Periodeafgrænsningsposter,,2,Sheet1
8699,Tilgodehavender i alt,,3,Sheet1
8700,Likvide beholdninger,,4,Sheet1
8711,Kasse,,2,Sheet1
8712,Kasse Valuta,,2,Sheet1
8713,Kasse Valuta 2,,2,Sheet1
8720,Nykredit Bank,,2,Sheet1
8722,Danske Bank 11397603,,2,Sheet1
8733,Danske Bank 11483011,,2,Sheet1
8735,Danske Bank 3409533124,,2,Sheet1
8740,Pleo,,2,Sheet1
8741,Mastercard TK 3965698 Nykredit,,2,Sheet1
8742,Mastercard TG 3965981 Nykredit,,2,Sheet1
8743,Mastercard HEL 3966007 Nykredit,,2,Sheet1
8749,Likvide beholdninger i alt,,3,Sheet1
8799,OMSÆTNINGSAKTIVER I ALT,,6,Sheet1
8999,AKTIVER I ALT,,6,Sheet1
9000,PASSIVER,,4,Sheet1
9071,Regulering af tidligere år,,2,Sheet1
9100,Egenkapital,,4,Sheet1
9101,Anpartskapital,,2,Sheet1
9170,Skyldig udbytte,,2,Sheet1
9175,Ekstraordinær udbytte,,2,Sheet1
9180,Overført fra tidligere år,,2,Sheet1
9190,Årets resultat,,2,Sheet1
9199,Egenkaital i alt,,3,Sheet1
9354,Diverse - kapital,,2,Sheet1
9399,GÆLD,,4,Sheet1
9400,Kortfristet gæld,,4,Sheet1
9401,Deposita,,2,Sheet1
9403,Gæld pengeinstitut,,4,Sheet1
9405,Banklån,,2,Sheet1
9409,Gæld pengeinstitut i alt,,3,Sheet1
9410,Moms,,4,Sheet1
9418,Udgående moms,,2,Sheet1
9419,Moms af EU varekøb,,2,Sheet1
9420,Indgående moms,,2,Sheet1
9421,EU ydelseskøb modtagermoms K,,2,Sheet1
9422,Moms af varekøb udland,,2,Sheet1
9424,Indgående moms - delvis fradragsret,,2,Sheet1
9425,3. land ydelse modtagermoms K,,2,Sheet1
9426,El-afgift,,2,Sheet1
9430,Momsafregning,,2,Sheet1
9431,Moms i alt,,3,Sheet1
9432,Skyldige omk.,,4,Sheet1
9433,Samlekonto kreditorer,,2,Sheet1
9434,Afsat revisor,,2,Sheet1
9435,Eurocard,,2,Sheet1
9436,Skyldige Omkostninger,,2,Sheet1
9438,Skyldige omk. I alt,,3,Sheet1
9439,Skyldig løn,,4,Sheet1
9440,Skyldig a-skat,,2,Sheet1
9441,Afregnet a-skat,,2,Sheet1
9442,Skyldig am-bidrag,,2,Sheet1
9443,Afregnet am-bidrag,,2,Sheet1
9446,Skyldig atp,,2,Sheet1
9448,Skyldige feriepenge,,2,Sheet1
9449,Feriepenge overgangsperiode,,2,Sheet1
9450,Lønindeholdelse,,2,Sheet1
9452,Skyldig løn,,2,Sheet1
9455,Skyldig pension,,2,Sheet1
9458,Skyldig løn i alt,,3,Sheet1
9459,Anden gæld,,4,Sheet1
9460,Mellemregning Hans,,2,Sheet1
9461,Mellemregning HEL ApS,,2,Sheet1
9462,Mellemregning Peter,,2,Sheet1
9463,Mellemregning PG ApS,,2,Sheet1
9464,Mellemregning Tobias,,2,Sheet1
9465,Mellemregning Tokjo ApS,,2,Sheet1
9466,Mellemregning Thomas,,2,Sheet1
9467,Mellemregning Gammelvind Cons. ApS,,2,Sheet1
9468,Modtagne forudbetalinger fra kunder,,2,Sheet1
9469,Mellemregning TW Holding,,2,Sheet1
9470,Skyldig bonus/tantieme,,2,Sheet1
9471,Mellemregning TW Technology,,2,Sheet1
9472,Mellemregning TW Cyber,,2,Sheet1
9475,Afsatte feriepenge,,2,Sheet1
9476,Regul. feriepengeforpl.,,2,Sheet1
9478,Skyldig Udbytte Skat,,2,Sheet1
9479,Selskabsskat,,2,Sheet1
9480,Skyldig selskabsskat,,2,Sheet1
9481,Sambeskatningsbidrag,,2,Sheet1
9482,Langfristet skat,,2,Sheet1
9485,Skattekonto,,2,Sheet1
9498,Anden gæld i alt,,3,Sheet1
9649,Udlæg,,4,Sheet1
9650,Tommy Sørensen,,2,Sheet1
9651,Udlæg Mette Buhl,,2,Sheet1
9652,Elvi Nissen,,2,Sheet1
9653,Simon Gomez,,2,Sheet1
9654,SLUT Michala Jagd,,2,Sheet1
9655,Udlæg Sofie Louise Andersen,,2,Sheet1
9656,Udlæg Paula Høiby,,2,Sheet1
9657,SLUT Simon Warthou,,2,Sheet1
9658,SLUT  Anne Thomson,,2,Sheet1
9659,SLUTJeanette K. Hansen,,2,Sheet1
9660,Lars A. Beck Thomsen,,2,Sheet1
9661,SLUT Gisla Faber,,2,Sheet1
9662,SLUT Rikke Kallerup,,2,Sheet1
9663,Michael Bruun Ellegaard,,2,Sheet1
9664,SLUT Sofie,,2,Sheet1
9665,Stephan Jensen,,2,Sheet1
9666,SLUT Mimi,,2,Sheet1
9667,SLUT Arni Einarsson,,2,Sheet1
9668,SLUT Nikolai Hart,,2,Sheet1
9669,Udlæg ialt,,3,Sheet1
9670,kortfristet gæld ialt,,6,Sheet1
9674,Marie Louise Daugaard,,2,Sheet1
9675,SLUT Rene Rørmose Løjmand,,2,Sheet1
9676,SLUT Morten Press,,2,Sheet1
9677,SLUT Jane Maigaard,,2,Sheet1
9678,SLUT Anne Walther Thomson,,2,Sheet1
9679,SLUT Janni Thoft,,2,Sheet1
9680,SLUT Konrad Kubak,,2,Sheet1
9681,SLUT Oliver Skjønnemand,,2,Sheet1
9682,Thomas Gadeberg,,2,Sheet1
9683,SLUT Michala Christensen,,2,Sheet1
9684,SLUT Henrik Hvid Jensen,,2,Sheet1
9685,Rasmus Frandsen,,2,Sheet1
9686,SLUT Mikkel Frederiksen,,2,Sheet1
9687,Marie Myssing,,2,Sheet1
9688,Nicklas Sandager,,2,Sheet1
9689,Udlæg SLUT Brian K. Flaskager,,2,Sheet1
9690,Udlæg SLUT Emilie Duedahl,,2,Sheet1
9691,SLUT Christiane,,2,Sheet1
9692,Udlæg SLUT Henrik Kjems,,2,Sheet1
9693,Regitze,,2,Sheet1
9694,SLUT Jan Borg,,2,Sheet1
9695,SLUT Stefan Vesløev,,2,Sheet1
9696,Sebastian Frandsen,,2,Sheet1
9697,Thomas Buchholdt,,2,Sheet1
9698,SLUT Martin Dam,,2,Sheet1
9699,SLUT Anna Mette Hansen,,2,Sheet1
9700,Signe Stoholm,,2,Sheet1
9701,Rasmus Saltoft,,2,Sheet1
9702,SLUT Emil Hauberg,,2,Sheet1
9703,Jens Østervang,,2,Sheet1
9704,Mathias Rasmussen,,2,Sheet1
9705,danielle.vaever,,2,Sheet1
9706,thomas.loeber,,2,Sheet1
9707,nikolaj.marquard,,2,Sheet1
9708,jacob.breindahl,,2,Sheet1
9709,kurt.hansen,,2,Sheet1
9710,marie.dorthea,,2,Sheet1
9711,Emilie Kent,,2,Sheet1
9712,Christine Islev-Noes,,2,Sheet1
9713,Ida Hupfeld,,2,Sheet1
9714,Anna Rønne Vang,,2,Sheet1
9715,Letty Meszaros,,2,Sheet1
9716,Anne Cathrine Andersen,,2,Sheet1
9717,Linda Faurskov,,2,Sheet1
9718,Tinna S. Nielsen,,2,Sheet1
9719,Sarah Rasmussen,,2,Sheet1
9720,Emillie Horneman,,2,Sheet1
9721,Ditte Hjort,,2,Sheet1
9722,Casper.Mellergaard,,2,Sheet1
9723,Mathias Herbst-Jensen,,2,Sheet1
9724,Johan Bach Hansen,,2,Sheet1
9725,Helene Damsholt,,2,Sheet1
9726,Lars.ole.kruse,,2,Sheet1
9727,Sara Barzan,,2,Sheet1
9728,Emma S.Andersen,,2,Sheet1
9729,Lukas B Højland,,2,Sheet1
9730,Amalie Obel,,2,Sheet1
